222,64,240,34,1,606
195,75,240,34,1,394
270,72,240,34,1,545
189,74,240,34,1,446
207,76,240,34,1,482
165,69,240,34,1,414
213,83,240,34,1,449
263,73,240,34,1,630
247,73,240,34,1,526
299,78,240,34,1,618
247,76,240,34,1,550
253,72,240,34,1,589
311,78,240,34,1,631
226,72,240,34,1,525
256,75,110,34,1,612
294,78,110,34,1,620
244,75,110,34,1,571
307,76,110,34,1,686
188,72,110,34,1,423
131,80,110,34,1,300
182,72,110,34,1,435
149,76,110,34,1,307
232,75,110,34,1,583
230,78,110,34,1,461
217,75,110,34,1,444
142,78,110,34,1,322
247,74,110,34,1,534
251,73,110,34,1,504
243,74,110,34,1,521
202,74,110,34,1,420
181,74,110,34,1,410
229,73,110,34,1,540
233,70,110,34,1,548
241,71,110,34,1,546
247,78,110,34,1,489
260,75,110,34,1,506
251,74,110,34,1,550
261,80,110,34,1,546
277,79,110,34,1,586
247,72,110,34,1,543
239,73,110,34,1,546
249,77,110,34,1,550
246,77,110,34,1,556
266,78,110,34,1,568
250,77,110,34,1,556
257,77,110,34,1,505
237,75,110,34,1,484
255,78,235,34,1,554
